Tag number,Sex,InitialSize,EndSize,SizeChange,Tank,Treatment,MoltDate,Molt,InitialSeverity,EndSeverity
372/662,M,84.5,88.5,4,26,S4,11/21/16,1,1,1
373/663,F,81.9,85.6,3.7,25,Control,12/5/16,1,1,1
601,M,85.3,85.3,0,27,S4,,0,0,0
602/659,M,80,86.2,6.2,32,B,12/15/16,1,1,1
603/655,M,81.3,88.1,6.8,28,P14,12/12/16,1,1,1
604/664,M,82.4,89.4,7,29,P14,12/15/16,1,1,1
605,M,84.8,84.8,0,17,P14,,0,0,0
606,M,82.7,82.7,0,30,Control,,0,1,1
608,M,84.3,84.3,0,19,S4,,0,0,1
609/653,M,81.2,85.2,4,7,P14,12/14/16,1,0,1
610,F,82.5,82.5,0,34,S4,1/3/17,1,0,0
611/652,F,82.4,90.4,8,21,B,10/26/16,1,0,0
612,M,84.8,84.8,0,22,P14,,0,0,0
613,M,84.4,84.4,0,23,P14,1/13/17,1,1,1
614,M,84.3,84.3,0,24,B,1/3/17,1,1,1
615/657,M,85.3,91.8,6.5,39,S4,12/14/16,1,1,1
616/658,M,82.5,90.9,8.4,33,P14,12/14/16,1,0,1
618,M,84.1,84.1,0,36,S4,,0,0,0
630,M,83.4,83.4,0,9,Control,,0,0,0
631,M,85.4,85.4,0,40,B,,0,1,1
632/665,M,77.2,78.6,1.4,37,P14,12/15/16,1,1,1
633/667,M,85,92.2,7.2,35,S4,12/26/16,1,1,1
634,M,85.2,85.2,0,38,Control,,0,0,0
635/661,F,79.6,85.5,5.9,18,B,11/21/16,1,1,1
636/669,F,83.9,87.6,3.7,10,Control,12/21/16,1,1,1
637/660,F,80.8,87.3,6.5,11,S4,11/9/16,1,1,1
638/656,M,82.5,90.2,7.7,12,Control,12/13/16,1,1,1
639,M,82.8,82.8,0,13,Control,1/20/17,1,0,1
640/668,M,77.9,84.2,6.3,14,S4,12/20/16,1,1,1
641,M,84.2,84.2,0,15,P14,,0,0,0
642,M,78.7,78.7,0,16,Control,,0,0,0
643/654,M,82.8,85.6,2.8,5,B,12/7/16,1,1,1
644,M,80.8,80.8,0,4,S4,,0,1,1
645,M,84.9,84.9,0,6,B,1/25/17,1,0,0
646/666,M,81.6,88.4,6.8,3,Control,12/19/16,1,1,1
647,M,85.2,85.2,0,2,Control,,0,0,0
648/671,M,83.9,91.4,7.5,1,B,12/28/16,1,0,1
649,M,85,85,0,8,P14,1/25/17,1,1,1
650,M,82.6,82.6,0,20,B,,0,0,1
651/670,M,80.9,86.4,5.5,31,B,1/25/17,1,1,1
